,feature_id,river,run,riverNWM,distance
76,23877117,Little Nelchina ,Little Nelchina Br. on Glenn Highway to Tazlina Lake,Little Nestucca River,28.486056148143824
77,3917946,Little Susitna ,1. Upper,Little Shasta River,33.33929452780249
78,3917946,Little Susitna ,2. Mother Lode Cookhouse &amp; Saloon to Shrock Road Bridge,Little Shasta River,33.39442068216064
79,23839676,Lowe ,1. Heiden Canyon,Tower Creek,25.29972448315742
80,23839676,Lowe ,Keystone Canyon,Tower Creek,25.47762115246965
81,4438184,"Matanuska, East Fork and Main Stem ",near Hunter Lake to Caribou Creek,East Fork Indian Creek,31.038469539489817
82,24121848,Matanuska ,1. Lions Head,Katasa Creek,30.849222750836933
83,24121848,Matanuska ,2. Glacier Park Bridge to Palmer,Katasa Creek,30.95260027784621
84,23815354,McCarthy Creek ,near Bonanza Ridge to McCarthy,McCarthy Creek,25.458946628007013
85,23805330,Mendenhall ,Mendenhall Lake to Riverside Drive,Mendenhall Creek,17.056411147224278
86,23839592,Mineral Creek ,1. Mineral Creek Road to Lower Canyon putin,Mineral Creek,26.11149290578645
87,23839592,Mineral Creek ,Lower Run,Mineral Creek,26.104599216773284
88,23953911,Montana Creek ,McGuinness Creek to Mendenhall River,Moran Creek,15.314478177496072
89,24275463,Moose Creek ,Buffalo Mine Rd. to Glenn Hwy.,Moose Creek,30.48207575354057
90,23082288,Nabesna ,Nabesna Glacier to Northway Indian Village,Nason Creek,26.105858437238744
91,23998124,Nadina ,Nadina Glacier to Copper River,Madison Creek,25.40413255329728
92,23852015,Nellie Juan ,Nellie Juan Lake to Kings Bay (Prince William Sound),Neiman Creek,29.339358879883303
93,23721239,Nenana ,1. Carlo Creek to McKinley Village,Nena Creek,33.17295717960888
94,23721239,Nenana ,2. McKinley Village to Riley Creek,Nena Creek,33.223963603783645
95,23721239,Nenana ,3. Riley Creek to Twin Rocks,Nena Creek,33.30929678538016
96,23721239,Nenana ,4. Twin Rocks to Healy (Nenana Canyon),Nena Creek,33.33780634001104
97,23857691,Newhalen ,Upper landing on Iliamna-Nondalton Road to Newhalen,Newman Creek,33.95281700410138
98,23838834,Nigu ,Gates of the Arctic National Park,Big River,36.45595630414394
99,23786463,Nizina ,1. Nizina Glacier to Kennicott River,Criminal Creek,26.104764835019743
100,23786463,Nizina ,2. Kennicott River to Chitna River,Criminal Creek,26.364160024321556
101,23041141,Noatak ,Twelvemile Creek to Noatak Village,Tonata Creek,40.96137557607526
102,23845473,Peterson Creek ,Meadows to Falls,Peterson Creek,15.098297922098352
103,23850891,Portage ,Portage Lake to Turnagain Arm,Porter Creek,29.049257539449748
104,23082768,Power Creek ,Feeding Eyak Lake near Cordova,Power Creek,28.06249808112521
105,24001173,Reeds Creek ,Good Hope Creek Confluence to Reed Lakes Trailhead,Reed Creek,28.497999987973625
106,23839180,Riley Creek ,Tripple Lakes Trail to Nenana River,Rainey Creek,29.163972043760456
107,23997540,Salmon Creek ,Bridge to Bake,Salmon Creek,15.457559725237493
108,9306300,Sanctuary ,Denali Road to Teklanika River,Saint Mary River,38.800857575043494
109,23861273,Sanford ,Upper gravel bar to Copper River,Stafford Creek,25.57607887065902
110,23881648,Savage ,Denali Park Road Bridge to Stampede Road,Savage Creek,31.703602522013174
111,23990171,Sheenjek ,Last Lake to Fort Yukon,Shell Creek,29.823956843747013
112,23745906,Sheep Creek ,near small lake at 2757 ft to Parks Highway,Sheep Creek,32.04446365822401
113,23745906,Sheep ,Near Glacier to Talkeetna River,Sheep Creek,31.411234799118663
114,23910767,Ship Creek ,Arctic Valley Rd. put-in to bridge,Skip Creek,31.420869149458614
115,23920652,Sixmile (&amp; E. Fork Sixmile) ,Seward Hwy along E. Fork of Six Mile to Sunshine,Middle Fork Sixes River,30.877824081422574
116,24256749,Skwentna ,Twin Glaciers to Skwentna,Skeleton Creek,34.44793697320063
117,2800583,Stikine ,Cassiar Hwy. Bridge to Telegraph Creek (Grand Canyon),Stinking Creek,19.204430499343758
118,12536992,Susitna ,Denali Hwy Bridge to Gold-Creek Alaska RR Bridge or Talkeetn...,Summit,37.231813895153685
119,23971553,Talkeetna ,Stephan Lake to Susitna River at Talkeetna Village,Kaleetan Creek,31.15683249008888
120,23872807,Tana ,Gravel Bar to Chitina River to Copper River,Tank Creek,24.419983008628428
121,23797061,Tasnuna ,Upper gravel bar to Copper river,Hanna Creek,26.947077666691012
122,947110194,Tatshenshini ,2. Dalton Post to Alsek (Dry Bay),Catherine Creek,19.235680611625252
123,23706408,Tazlina ,Tazlina Lake to Copper River,Paulina Creek,30.77227657673438
124,23872807,Teklanika ,Teklanika Campground to Stampede Rd. (Savage River),Tank Creek,31.593413223766255
125,23886594,Tiekel ,Tiekel Canyon,Thiel Creek,26.996292831009313
126,23081478,Tonsina ,1. Tonsina Glacier to Tonsina Lake,Tronsen Creek,28.643552548224353
127,23081478,Tonsina ,Lower Run,Tronsen Creek,28.38869281618894
128,9302661,Tsaina ,Lower Canyon,Kaina Creek,33.823922507754105
129,9302661,Tsaina ,Upper Canyon,Kaina Creek,34.03215468922033
130,23955774,Twentymile ,Carmen Lake to Turnagain Arm,Tenmile Creek,28.854621586937544
131,23997268,White ,Solo Creek airstrip to Alaska Highway Bridge (Yukon Terr.),White Creek,22.781286087248677
132,23805716,Willow Creek ,1. near Hatcher Pass to lower Willow Creek put-in,Willow Creek,31.354948372043417
133,23805716,Willow Creek ,2. Guardrail to Shirleytown,Willow Creek,31.48471887498473
134,23941295,Windy / Rocky ,3 miles above Windy/Rocky confluence to tidewater,Painted Rock Creek,32.1100595325562
135,23075039,Wolverine Creek ,Upper River to Matanuska River,Wolverine Creek,31.40753809502725
136,23857759,Wortmann's Creek ,Upper River to Lowe River,Workman Creek,26.342853455135586
137,18563267,Austin Creek ,Joy Road to Locust,Austin Creek,0.0046884645674241335
138,15820801,Bear Creek (Dekalb Co.) ,Lower: Canyon Rim Road to Little River,Bear Creek,0.2907205391811249
139,15820521,Bear Creek (Dekalb Co.) ,Upper: CR 78 to Canyon Rim Road,Bear Creek,0.0007480782044657137
140,19569274,Bear Creek (Franklin/ Marion Co.) ,Highway 5 Bridge to Scott Bridge,Bear Creek,0.0018851915258278576
141,18564621,Big Scirum Creek ,Joy Road to Locust Fork,Big Scirum Creek,0.005707238912115471
142,22200429,Black ,Noccalula Park campground to Tuscaloosa Avenue,Black Creek,0.004898220856293572
143,19648966,Blackoak Creek ,Rt. 227 to Town Creek,Black Oak Creek,0.007758673330239454
144,18591938,Blackwater Creek ,Rt. 257(County Road 41) to Walston Bridge,Blackwater Creek,0.008009970349509392
145,18578717,Brushy Creek ,Brushy Lake to FS 255,Brushy Creek,0.0005048371005205463
146,21654284,Cahaba ,Lovick Bridge to Grants Mill (County Route 143),Cahaba River,0.003990946968996613
147,21654172,Cahaba ,US Route 11 to County Route 10,Cahaba River,0.0058972472391741705
148,3434268,Chattahoochee ,8 - Metro Columbus/Phenix City,Chattahoochee River,0.00044594170022577677
149,22205115,Cheaha Creek ,Cheaha Falls to Devils Den,Cheaha Creek,0.006754468347740222
150,2323496,Chinquapin Creek ,176 to Canyon Rim Road,Chinquapin Creek,2.9039311928170615
151,2323496,Chinquapin Creek ,Canyon Rim Road to Little River,Chinquapin Creek,2.899254908762002
152,18564895,Chitwood Creek ,CR 1 to CR 33,Chitwood Creek,0.021961409551227246
153,22204871,Choccolocco Creek ,Jackson Trace to Hwy.77,Choccolocco Creek,0.0010816068764478188
154,19645286,Coon Creek ,Rt. 117 to Lake Guntersville,Coon Creek,0.0034550353109621566
155,22276638,Coosa ,CR 213 or the dam to River Road,Coosa River,0.003531413939927584
156,19625800,Cotaco Creek ,Matt Morrow Rd (Mill Pond) to Ruth Rd.,Cotaco Creek,0.010695813574831575
157,19649356,Drum Creek ,Rice Mill Rd. to Short Creek,Drum Creek,0.004223707751425984
158,19650468,Dry (Short) Creek ,CR 409 to Guntersville Lake,Short Creek,0.045505321114813264
159,22038711,Elkahatchee Creek ,Elkahatchee Rd to SR 63,Elkahatchee Creek,0.003556356749313448
160,19697817,Flat Rock / Coon Creek ,Rt. 117 to Lake Guntersville,Flatrock Creek,0.22010788170334897
161,19625974,"Flint Creek, East Fork ",CR 1386 to Wilhites Rd. Bridge,Flint Creek,0.0021137598371694087
162,18563183,Graves Creek ,1st bridge upstream to Locust Fork,Graves Creek,0.002708302051101875
163,19619248,Guess Creek ,State Highway 146 to County Road 20,Guess Creek,0.018971292508605887
164,22203111,Gulf Creek ,Loop Rd to Beason Cove Rd,Gulf Creek,0.0029472369110603415
165,18565479,Gurley Creek ,Narrows Rd to State Rte 79,Gurley Creek,0.0066445118632989355
166,22272886,Hatchet Creek ,Hwy 280 to Hwy 231,Hatchet Creek,0.00017842459745334323
167,15820669,Hicks Creek ,CR 127 (Jennings Rd SE) to Canyon Rim Road (State Route 176),Hicks Creek,0.0033719653305670605
168,19650098,Hog Creek ,Fairview Rd. to Spring Creek,Hog Creek,0.007425712912827086
169,19744746,Honeycomb Creek ,CR 593 to CR 5,Honeycomb Creek,4.318611141771197
170,18578643,Hubbard Creek/Sipsey Fork ,FS 210 to Cranal Rd (CR60),Hubbard Creek,0.0005351971599293716
171,18578643,Hubbard Creek ,Kinlock Falls,Hubbard Creek,0.0021984621897988637
172,15820271,Hurricane Creek (Dekalb Co.) ,Desoto Parkway to Oak Hill Road NE,Hurricane Creek,0.009831677636158413
173,15820363,Hurricane Creek (Dekalb Co.) ,Oak Hill Road NE to Little River,Hurricane Creek,0.0008131866325764567
174,15822907,Johnnies Creek ,2. Upper - CR 47 to Canyon Rim Road,Johnnies Creek,0.005097207470763137
175,15821075,Johnnies Creek ,3. Canyon Rim Road to Canyon Mouth Park (Lower),Johnnies Creek,0.001704002640843736
176,19645580,Jones Creek ,Hwy 71 to BSA camp,Jones Creek,0.0034797204269796187
177,22204305,Kelly Creek ,Hwy 78 to Winnataska Drive,Kelly Creek,0.00026400757564386604
178,19645916,Kirby Creek ,Rock City to South Sauty Creek,Kirby Creek,0.0030903612685161765
179,18588612,Lick Creek ,State Rte. 91 to County Road 783,Lick Creek,0.01141696529872721
180,22200327,Line Creek ,Egypt Rd to Littleton Rd,Line Creek,0.0026121552087251163
181,3431280,Little Uchee ,Auburn Road to Bishops Bridge,Little Uchee Creek,0.00048252210417181775
182,453506,"Little, E. Fork ",Lahusage to Rt. 35,Little Fork,3.6888196263175725
183,453506,"Little, W. Fork ",1. Desoto Falls to Cloudmont,Little Fork,3.7003284272885875
184,453506,"Little, W. Fork ",2. Cloudmont to Lake Howard,Little Fork,3.717424880451524
185,453506,"Little, W. Fork ",3. Lake Howard to East Fork Little,Little Fork,3.7440706849363807
186,15820609,Little ,1. Hwy 35 to Upper Two,Little River,0.0016883794004930405
187,15820731,Little ,2. Upper Two to Eberhart Point,Little River,0.0005459949793082593
188,15820799,Little ,3. Eberhart Point (Chairlift) to Canyon Mouth Campground,Little River,0.00047837746602703157
189,19644742,Lively Creek ,State Rte. 73 to Long Island Creek,Lively Creek,0.002880615001207458
190,18590544,Mill Creek (Blount Co.) ,Rt. 31 to Dirt rd off CR 5,Mill Creek,0.003197641683641461
191,19625798,Mill Creek (Morgan Co.) ,Holmes Drake Rd to US Rte 31,Mill Creek,0.004095050935475464
192,19644908,Miller/Long Island Creek ,Rt. 71 to Lake Guntersville,Long Island Creek,0.029340849144781803
193,18588688,"Mulberry Fork, Upper ",Center Hill- Blountville Road to US Route 31,Mulberry Fork,0.00128897013154159
194,18590354,Mulberry Fork ,Above Old US 31 to Whitewater Drive,Mulberry Fork,0.002297038310525245
195,18590420,Rice Creek ,CR 38 to CR 91,Rice Creek,0.008672529066573677
196,22205059,Salt Creek ,Salt Creek Rd to Henderson Lake Rd,Salt Creek,0.0011525115440772836
197,19649268,Scarham Creek ,Double Bridges to Short Creek,Scarham Creek,0.004903538824138531
198,19649160,Shoal Creek ,1st bridge to Double Bridges,Shoal Creek,0.003007485903582989
199,19625408,Shoal Creek ,CR 240 to Wheeler Lake,Shoal Creek,0.0015026071886781193
200,19650054,Short Creek ,CR 409 to Guntersville Lake,Short Creek,0.0034424266150523686
201,19649444,Short Creek ,Route 75 to Hustleville Rd.,Short Creek,0.0010386308295048019
202,18578755,Sipsey Fork ,County Route 60 (Sipsey Recreational Area) to State Route 33,Sipsey Fork,0.004223082912689175
203,19625366,Six Mile Bend ,Six Mile (State Route 25) to Coosa Road,Six Mile Creek,1.4045557009912983
204,22274352,Socapatoy Creek ,CR 111 to US 231 ,Socapatoy Creek,0.012835731377669211
205,21712132,Sougahatchee Creek ,Co Rd 188 to Steel Bridge,Sougahatchee Creek,0.0036275610496306018
206,19648270,South Sauty Creek ,Intersection of County Roads 43 and 56 to Bucks Pocket,South Sauty Creek,0.001444508566939979
207,19648810,South Sauty Creek ,Lower: Bucks Pocket to Guntersville Lake,South Sauty Creek,0.004976289806297455
208,21712888,Stone Creek ,Oak Heights Rd to Tallapoosa river,Stone Creek,0.008974528132510243
209,19645918,Stringer Creek ,CR 38 to South Sauty Creek,Stringer Creek,0.006873062896805946
210,22205253,Talladega Creek ,"Skyway Mtwy to Waldo Bridge, State Rte 77",Talladega Creek,0.002960382111115426
211,21713318,Tallapoosa ,Thurlow Dam to boat ramp,Tallapoosa River,0.0009304026010239222
212,19649050,Town Creek ,2) Below the Mill Slide at 227 to above High Falls,Town Creek,0.0036072495061995704
213,19649040,Town Creek ,3) High Falls to Lake Guntersville,Town Creek,0.0074857531351215315
214,19608439,Turkey Creek ,Walls of Jericho Gorge,Turkey Creek,0.29802848087550793
215,18588566,Two Mile Creek ,CR 798 to CR 781 (Duck Creek),Two Mile Creek,0.008131835808222045
216,22274814,Walnut Creek ,County Rd 32 to Lake Mitchell,Walnut Creek,0.009086208604295024
217,19531630,"Warrior, Blackburn Fork ",Dirt Rd. off Rt. 15 to Little Warrior Bridge (Rt. 15),Garrison Fork,1.6484634367112039
218,18564869,"Warrior, Calvert Prong of the Locust Fork ",CR 33 to Deavers Town Rd,Calvert Prong Little Warrior River,0.004465482420091552
219,18563189,"Warrior, Locust Fork ",1) CR 1 (Five Points Rd) to US Route 231 ,Locust Fork,0.00318813205497798
220,18563487,"Warrior, Locust Fork ",2) US 231/79 to CR 160,Locust Fork,0.004912531933732564
221,22274358,Weogufka Creek ,Low Water Bridge to Ford,Weogufka Creek,0.00967037391852287
222,19649288,Whippoorwill Creek ,CR 532 to Double Bridges,Whippoorwill Creek,0.0073853183500877835
223,15821329,Wolf Creek (LRC Tributary) ,Rt. 176 to Little River,Wolf Creek,0.10804053922486488
224,15821411,Wolf Creek (Weiss Lake Tributary) ,CR49 to CR47,Wolf Creek,0.0032216927227809943
225,15821505,Yellow Creek ,First Falls to Lake,Yellow Creek,0.004901355018246695
226,166745458,"Yellowleaf Creek, North Fork ",Ivy Branch to Old Highway 280,Yellowleaf Creek,0.10982444088315764
227,22000344,Adkins / Hailstone Creek ,Dixon Ridge Rd. to Hwy. 21 bridge (2 miles+11 miles),Hamilton Creek,1.351220042951585
228,3745694,Baker Creek ,Ed Banks Road to Weyerhauser Road 52200 (3 miles),Baker Creek,0.021319985782173468
229,11820103,Barberry Creek ,Headwaters to ELFB (1.8 miles),Barberry Creek,0.00033986412138985677
230,14321023,Bayou Des Arc ,Romance to Lake Barnett (7 miles),Bayou Des Arc,0.0012114829694985171
231,7764669,Bear Creek (Big Piney trib) ,Headwaters to Big Piney Creek (4.1 miles),West Fork Big Piney Creek,0.24775929369141675
232,7828818,Bear Creek (South Fourche trib) ,NFR 45 to NFR 86 (4.5 miles),South Fourche LaFave River,0.030612549158713514
233,11820089,Beech Creek ,Ryker to Hwy. 21 (7.5 miles),Beech Creek,0.030374359976798163
234,1539911,Ben Doodle Branch ,Camping area to Highway 220 (7.5 miles),Ben Doodle Branch,0.0058094898826280715
235,11774485,Big Creek ,Low water bridge to Old Iron Bridge (12 miles),Big Creek,0.0040082058901408524
236,11818403,Big Devil's Fork ,Hill Cemetery to Richland Creek (2.75+2 miles),Big Devils Fork,0.021731357530300165
237,7764585,Big Piney Creek ,1) Walnut to Ft. Douglas at Hwy 123 (16 miles),Big Piney Creek,0.004760796859420882
238,7764941,Big Piney Creek ,2) Fort Douglas (Hwy 123) to Helton's Farm (10 miles),Big Piney Creek,0.002331428457431124
239,7765319,Big Piney Creek ,3) Helton's Farm (Treat) to Long Pool Campground (8.4 miles),Big Piney Creek,0.0010457087554285728
240,7765791,Big Piney Creek ,4) Long Pool Campground to Hwy 164 (4.4 miles),Big Piney Creek,0.0019106273943753534
241,7770895,Big Shoal Creek ,NFR 1601 to NFR 1614 (7 miles),Big Shoal Creek,0.005286278505301987
242,1538353,Blackburn Creek ,Devils Den State Park to Hwy 220 (8 miles),Blackburn Creek,0.009545059499611694
243,21996872,"Blakely Creek, North Fork ",North Fork Road to Hwy 84 (2.9 miles),Blakely Creek,0.020074596897394235
244,22697860,Blaylock Creek ,Nfr 106 to Little Missouri River (8 + 5.7 miles),Blaylock Creek,0.014823783821045955
245,22697936,Blocker Creek ,Along Hwy 369 to Little Missouri below Hwy.84 (6 miles),Blocker Creek,0.002815660084276095
246,11818535,Bobtail Creek ,(hike in) FS 1219A to Richland Creek (2.75 miles),Bobtail Creek,0.009343668940634863
247,11819641,Boen Gulf Branch ,Headwaters to Buffalo River (2.6+7.8 miles),Boen Gulf Branch,0.001807025262293244
248,7375611,Boss Hollow ,Headwaters to Hurricane Creek (3.8 miles),Glass Hollow Branch,1.692460558096556
249,11817089,Boulder Creek ,Headwaters to Henson Creek (2.6 miles),Boulder Creek,0.0002721793644235654
250,5830375,Broadwater Hollow ,Park Boundry to Cecil Creek (0.25 mile),Watered Hollow Branch,1.9723831590300143
251,3745610,Brushy Creek ,Polk County 408 to Cossatot at Hwy 246 (6.2 miles),Brushy Creek,0.01957246312337275
252,11819893,Buffalo , 1) NFR 1463 to Highway 21 at Boxley (13.6 miles),Buffalo River,0.00015132745950999037
253,11819291,Buffalo , 2) Boxley to Ponca (6.1 miles),Buffalo River,0.0028802944900859486
254,11816879,Buffalo , 3) Ponca to Kyles (10.6 miles),Buffalo River,0.0005145864033687427
255,11816733,Buffalo , 4) Kyles to Pruitt (13.2 miles),Buffalo River,0.0006437584950960163
256,11816741,Buffalo , 5) Pruitt to Hasty (7 miles),Buffalo River,0.00922586177068665
257,11816975,Buffalo , 6) Hasty to Carver (4 miles),Buffalo River,0.0014929879229184438
258,11819115,Buffalo , 7) Carver to Woolum (15.3 miles),Buffalo River,0.0009841499909158133
259,11818891,Buffalo , 8) Woolum to Tyler Bend (15.3 miles),Buffalo River,0.0039265299379333115
260,11817437,Buffalo , 9) Tyler Bend to Gilbert (5.6 miles),Buffalo River,0.0014331529933926746
261,11818831,Buffalo ,10) Gilbert to Maumee (11.8 miles),Buffalo River,0.0033083692180583034
262,11816263,Buffalo ,11) Maumee to Buffalo Point (10.9 miles),Buffalo River,0.013423087653955133
263,11816243,Buffalo ,12) Buffalo Point to Rush Landing (7.5 miles),Buffalo River,0.003891984910324449
264,11816153,Buffalo ,13) Rush Landing to Buffalo City (24.4 miles),Buffalo River,0.0014270480590787354
265,22847735,Bull Bayou ,Kelly Hollow Ln to Blacksnake Road (3.9 miles),Mill Bayou,0.6735073752258666
266,22001798,Caddo ,Norman to Amity (29 miles),Caddo River,0.0033399260279800996
267,7816348,"Cadron Creek, East Fork ",1) Rose Bud to Highway 36 (5.5 miles),Cadron Creek,0.09521363470637872
268,7816508,"Cadron Creek, East Fork ",2) Highway 36 to White Oak Bridge/Highway 107 (9 miles),Cadron Creek,0.14466165525113306
269,7816684,"Cadron Creek, East Fork ",3) Highway 107 to Hardin Bridge (10 miles),Cadron Creek,0.12086427510228538
270,7816508,"Cadron Creek, Middle Fork ",Highway 356 to Highway 124 (6.4 miles),Cadron Creek,0.0006154331308879758
271,7816810,Cadron Creek ,1) Hartwick Mill Run: Highway 124 to Pinnacle Springs (11 mi...,Cadron Creek,0.002994319455230975
272,7817078,Cadron Creek ,2) Pinnacle Gap Run: Pinnacle Springs to Highway 65 (4.5 mil...,Cadron Creek,0.0016679340514547554
273,7817320,Cadron Creek ,3) Cove Creek Run: Highway 65 to Highway 285 (10 miles),Cadron Creek,0.013242108420303005
274,3745646,Camp/Flat Creek ,Polk County Road 33 to Cossatot River (4.5 miles),Flat Creek,0.004354060815756
275,25198886,Cedar Creek (Conway Co.) ,Petit Jean St. Park (3.5 miles),Cedar Creek,0.000837703863156664
