,featureID,State,ID,RiverName,RunName,Put In,Take Out,Class,nameNWM,distance
78,3917946.0,AK,30,Little Susitna ,2. Mother Lode Cookhouse &amp; Saloon to Shrock Road Bridge,"['61.777584075928', '-149.1965637207']","['61.693405151367', '-149.24626159668']",IV-V,Little Shasta River,33.39442068216064
79,23839676.0,AK,31,Lowe ,1. Heiden Canyon,"['61.109901428223', '-145.64669799805']","['61.097099304199', '-145.85789489746']",V,Tower Creek,25.29972448315742
80,23839676.0,AK,32,Lowe ,Keystone Canyon,"['61.09714', '-145.863217']","['61.057171', '-145.921561']",III,Tower Creek,25.47762115246965
81,4438184.0,AK,3269,"Matanuska, East Fork and Main Stem ",near Hunter Lake to Caribou Creek,"['61.825401306152', '-147.32949829102']","['61.78556060791', '-147.65306091309']",II+,East Fork Indian Creek,31.038469539489817
82,24121848.0,AK,3270,Matanuska ,1. Lions Head,"['61.803298950195', '-147.68159484863']","['61.7958984375', '-147.79939270019']",III+,Katasa Creek,30.84922275083693
83,24121848.0,AK,34,Matanuska ,2. Glacier Park Bridge to Palmer,"['61.7959', '-147.799']","['61.6098', '-149.073']",II+,Katasa Creek,30.952600277846212
84,23815354.0,AK,3271,McCarthy Creek ,near Bonanza Ridge to McCarthy,"['61.493801116943', '-142.78359985352']","['61.431301116943', '-142.92140197754']",III+(V+),McCarthy Creek,25.458946628007013
85,23805330.0,AK,3172,Mendenhall ,Mendenhall Lake to Riverside Drive,"['58.404499053955', '-134.58180236816']","['58.39741897583', '-134.58531188965']",II(III),Mendenhall Creek,17.056411147224278
86,23839592.0,AK,35,Mineral Creek ,1. Mineral Creek Road to Lower Canyon putin,"['61.2388', '-146.317']","['61.2177', '-146.318']",V,Mineral Creek,26.11149290578645
87,23123397.0,AK,3272,Mineral Creek ,Lower Run,"['61.193144', '-146.336124']","['61.141998', '-146.359695']",II+,Pacific Creek,0.01652479276723387
88,23953911.0,AK,3557,Montana Creek ,McGuinness Creek to Mendenhall River,"['58.440788269043', '-134.64727783203']","['58.425510406494', '-134.63154602051']",II-III+,Moran Creek,15.314478177496074
89,24275463.0,AK,2553,Moose Creek ,Buffalo Mine Rd. to Glenn Hwy.,"['61.721977233887', '-149.05686950684']","['61.682613372803', '-149.04646301269']",III+,Moose Creek,30.482075753540567
90,23082288.0,AK,3273,Nabesna ,Nabesna Glacier to Northway Indian Village,"['62.209400177002', '-142.85299682617']","['62.9827003479', '-141.95429992676']",II,Nason Creek,26.105858437238744
91,23998124.0,AK,36,Nadina ,Nadina Glacier to Copper River,"['62.008499145508', '-144.81159973144']","['61.851940155029', '-145.13999938965']",V+,Madison Creek,25.40413255329728
93,23721239.0,AK,2560,Nenana ,1. Carlo Creek to McKinley Village,"['63.563610076904', '-148.83027648926']","['63.65710067749', '-148.82870483398']",II-III,Nena Creek,33.17295717960888
94,23721239.0,AK,2561,Nenana ,2. McKinley Village to Riley Creek,"['63.65710067749', '-148.82870483398']","['63.727779388428', '-148.88389587402']",III,Nena Creek,33.223963603783645
95,23721239.0,AK,2562,Nenana ,3. Riley Creek to Twin Rocks,"['63.727779388428', '-148.88389587402']","['63.758499145508', '-148.89750671387']",III+,Nena Creek,33.309296785380155
97,5908529.0,AK,40,Newhalen ,Upper landing on Iliamna-Nondalton Road to Newhalen,"['59.946899414062', '-154.86070251465']","['59.713298797607', '-154.88999938965']",IV-V,Rockfish Run,0.18408752253479413
98,23838834.0,AK,3157,Nigu ,Gates of the Arctic National Park,"['67.968002319336', '-155.18960571289']","['68.540832519531', '-156.45332336426']",I-II,Big River,36.45595630414394
99,23786463.0,AK,3164,Nizina ,1. Nizina Glacier to Kennicott River,"['61.550712585449', '-142.51956176758']","['61.376575469971', '-143.00108337402']",II+,Criminal Creek,26.104764835019747
100,23786463.0,AK,41,Nizina ,2. Kennicott River to Chitna River,"['61.376575469971', '-143.00108337402']","['61.350944519043', '-143.24128723144']",II-III,Criminal Creek,26.36416002432156
101,23041141.0,AK,3159,Noatak ,Twelvemile Creek to Noatak Village,"['67.589889526367', '-155.22172546387']","['67.56950378418', '-162.96339416504']",I(II),Tonata Creek,40.961375576075255
102,23845473.0,AK,5406,Peterson Creek ,Meadows to Falls,"['58.460292816162', '-134.74774169922']","['58.475399017334', '-134.76379394531']",III+(V+),Peterson Creek,15.09829792209835
103,23850891.0,AK,3161,Portage ,Portage Lake to Turnagain Arm,"['60.784801483154', '-148.84300231934']","['60.829399108887', '-148.97999572754']",I,Porter Creek,29.049257539449748
104,23082768.0,AK,4149,Power Creek ,Feeding Eyak Lake near Cordova,"['60.592800140381', '-145.58110046387']","['60.587299346924', '-145.62019348144']",IV-V,Power Creek,28.062498081125213
105,24001173.0,AK,4418,Reeds Creek ,Good Hope Creek Confluence to Reed Lakes Trailhead,"['61.818828582764', '-149.19165039062']","['61.808017730713', '-149.20327758789']",V,Reed Creek,28.497999987973625
106,23839180.0,AK,2554,Riley Creek ,Tripple Lakes Trail to Nenana River,"['63.668598175049', '-148.90600585938']","['63.758499145508', '-148.89750671387']",III,Rainey Creek,29.163972043760452
107,23997540.0,AK,4775,Salmon Creek ,Bridge to Bake,"['58.3352', '-134.446']","['58.3329', '-134.462']",II-V,Salmon Creek,15.457559725237491
108,9306300.0,AK,42,Sanctuary ,Denali Road to Teklanika River,"['63.722999572754', '-149.47239685059']","['63.811668395996', '-149.51417541504']",V+,Saint Mary River,38.800857575043494
109,5908529.0,AK,43,Sanford ,Upper gravel bar to Copper River,"['62.139999389648', '-144.46490478516']","['62.344169616699', '-145.16639709473']",II,Rockfish Run,0.18408752253479413
110,23881648.0,AK,3275,Savage ,Denali Park Road Bridge to Stampede Road,"['63.740200042725', '-149.28950500488']","['63.905101776123', '-149.43960571289']",V,Savage Creek,31.703602522013174
111,23990171.0,AK,3160,Sheenjek ,Last Lake to Fort Yukon,"['68.594200134277', '-143.75709533691']","['66.611198425293', '-145.20030212402']",I-II,Shell Creek,29.82395684374701
112,23745906.0,AK,3276,Sheep Creek ,near small lake at 2757 ft to Parks Highway,"['62.120300292969', '-149.49960327148']","['61.99580001831', '-150.04890441894']",III,Sheep Creek,32.04446365822401
113,23745906.0,AK,3277,Sheep ,Near Glacier to Talkeetna River,"['62.064998626709', '-148.80130004883']","['62.373611450195', '-149.78527832031']",IV(V+),Sheep Creek,31.411234799118663
114,23910767.0,AK,4131,Ship Creek ,Arctic Valley Rd. put-in to bridge,"['61.2235', '-149.58']","['61.239', '-149.695']",IV,Skip Creek,31.420869149458607
115,23920652.0,AK,45,Sixmile (&amp; E. Fork Sixmile) ,Seward Hwy along E. Fork of Six Mile to Sunshine,"['60.741298675537', '-149.35000610352']","['60.883201599121', '-149.41900634766']",V,Middle Fork Sixes River,30.87782408142257
116,24256749.0,AK,3278,Skwentna ,Twin Glaciers to Skwentna,"['61.469501495361', '-152.78160095215']","['61.959800720215', '-151.18060302734']",III+,Skeleton Creek,34.44793697320063
118,12536992.0,AK,46,Susitna ,Denali Hwy Bridge to Gold-Creek Alaska RR Bridge or Talkeetn...,"['63.1059', '-147.516']","['62.3253', '-150.12']",III-V+,Summit,37.23181389515369
119,23971553.0,AK,47,Talkeetna ,Stephan Lake to Susitna River at Talkeetna Village,"['62.515598297119', '-148.80200195312']","['62.325298309326', '-150.11999511719']",III-IV,Kaleetan Creek,31.156832490088878
120,23872807.0,AK,48,Tana ,Gravel Bar to Chitina River to Copper River,"['60.8596', '-142.746']","['61.4824', '-144.454']",IV,Tank Creek,24.41998300862843
121,5908529.0,AK,49,Tasnuna ,Upper gravel bar to Copper river,"['61.049098968506', '-145.28799438477']","['60.994701385498', '-144.81939697266']",II+,Rockfish Run,0.18408752253479413
123,23706408.0,AK,3220,Tazlina ,Tazlina Lake to Copper River,"['62.006301879883', '-146.25160217285']","['62.038608551025', '-145.38722229004']",II+(III),Paulina Creek,30.77227657673438
125,23886594.0,AK,52,Tiekel ,Tiekel Canyon,"['61.258466', '-145.280843']","['61.222656', '-144.852749']",V,Thiel Creek,26.996292831009317
126,23081478.0,AK,53,Tonsina ,1. Tonsina Glacier to Tonsina Lake,"['61.32740020752', '-145.66310119629']","['61.520500183105', '-145.49440002441']",V+,Tronsen Creek,28.643552548224353
127,23123397.0,AK,54,Tonsina ,Lower Run,"['61.662998', '-145.178894']","['61.651997', '-144.655495']",III-IV,Pacific Creek,0.01652479276723387
128,23123397.0,AK,3282,Tsaina ,Lower Canyon,"['61.247898', '-145.311295']","['61.258522', '-145.280091']",III+,Pacific Creek,0.01652479276723387
129,5908529.0,AK,55,Tsaina ,Upper Canyon,"['61.197655', '-145.554229']","['61.211663', '-145.382142']",V,Rockfish Run,0.18408752253479413
130,23955774.0,AK,3162,Twentymile ,Carmen Lake to Turnagain Arm,"['60.915000915527', '-148.79100036621']","['60.844200134277', '-148.98399353027']",I,Tenmile Creek,28.854621586937547
132,23805716.0,AK,58,Willow Creek ,1. near Hatcher Pass to lower Willow Creek put-in,"['61.761798858643', '-149.67210388184']","['61.78450012207', '-149.84739685059']",V+,Willow Creek,31.354948372043413
133,23805716.0,AK,57,Willow Creek ,2. Guardrail to Shirleytown,"['61.7845', '-149.81']","['61.7709', '-149.94']",III-IV,Willow Creek,31.484718874984733
134,23941295.0,AK,3274,Windy / Rocky ,3 miles above Windy/Rocky confluence to tidewater,"['59.412998199463', '-151.45150756836']","['59.279998779297', '-151.4061126709']",IV,Painted Rock Creek,32.1100595325562
135,5908529.0,AK,59,Wolverine Creek ,Upper River to Matanuska River,"['61.631401062012', '-149.04580688477']","['61.656200408935', '-149.03199768066']",V,Rockfish Run,0.18408752253479413
136,5908529.0,AK,60,Wortmann's Creek ,Upper River to Lowe River,"['61.025299072266', '-145.74839782715']","['61.101669311523', '-145.80888366699']",II-III,Rockfish Run,0.18408752253479413
0,18563267.0,AL,5099,Austin Creek ,Joy Road to Locust,"['34.0339', '-86.614']","['33.9976', '-86.6014']",IV-V,Austin Creek,0.004688464567424134
1,23123397.0,AL,61,Bear Creek (Dekalb Co.) ,Lower: Canyon Rim Road to Little River,"['34.224449157715', '-85.415367126465']","['34.291999816895', '-85.626502990723']",IV(V),Pacific Creek,0.01652479276723387
2,23894038.0,AL,3938,Bear Creek (Dekalb Co.) ,Upper: CR 78 to Canyon Rim Road,"['34.417', '-85.7041']","['34.3744', '-85.6922']",II-III+(IV),Cavitt Creek,0.0030365654940949765
3,19569274.0,AL,62,Bear Creek (Franklin/ Marion Co.) ,Highway 5 Bridge to Scott Bridge,"['34.266998291016', '-87.70240020752']","['34.356098175049', '-87.898300170898']",I-II+(V),Bear Creek,0.0018851915258278574
4,18564621.0,AL,3903,Big Scirum Creek ,Joy Road to Locust Fork,"['33.9974', '-86.6289']","['33.9804', '-86.6158']",IV,Big Scirum Creek,0.005707238912115471
5,22200429.0,AL,3840,Black ,Noccalula Park campground to Tuscaloosa Avenue,"['34.04109954834', '-86.02010345459']","['34.0285987854', '-86.03150177002']",II-V+,Black Creek,0.004898220856293572
6,19648966.0,AL,2732,Blackoak Creek ,Rt. 227 to Town Creek,"['34.416801452637', '-86.03980255127']","['34.427799224854', '-86.1083984375']",III-IV,Black Oak Creek,0.0077586733302394545
8,18578717.0,AL,2999,Brushy Creek ,Brushy Lake to FS 255,"['34.291500091553', '-87.273399353027']","['34.252498626709', '-87.247200012207']",I(II),Brushy Creek,0.0005048371005205463
10,21654172.0,AL,66,Cahaba ,US Route 11 to County Route 10,"['33.6216', '-86.5992']","['33.6049', '-86.5492']",I-II,Cahaba River,0.0058972472391741705
11,3434268.0,AL,3659,Chattahoochee ,8 - Metro Columbus/Phenix City,"['32.4949', '-84.9955']","['32.4682', '-84.9955']",II-III+(IV),Chattahoochee River,0.00044594170022577677
12,22205115.0,AL,3904,Cheaha Creek ,Cheaha Falls to Devils Den,"['33.45000076294', '-85.856399536133']","['33.459499359131', '-85.874198913574']",II-IV+,Cheaha Creek,0.006754468347740222
13,2323496.0,AL,10936,Chinquapin Creek ,176 to Canyon Rim Road,"['34.342998504639', '-85.690002441406']","['34.335998535156', '-85.681999206543']",III-IV+,Chinquapin Creek,2.903931192817061
14,23123627.0,AL,3612,Chinquapin Creek ,Canyon Rim Road to Little River,"['34.335998535156', '-85.681999206543']","['34.333999633789', '-85.669998168945']",V,Lewis River,0.007679757092517075
15,18564895.0,AL,3613,Chitwood Creek ,CR 1 to CR 33,"['33.918701171875', '-86.526901245117']","['33.95240020752', '-86.545600891113']",III-IV,Chitwood Creek,0.021961409551227246
16,22204871.0,AL,4334,Choccolocco Creek ,Jackson Trace to Hwy.77,"['33.548198699951', '-86.09700012207']","['33.561500549316', '-86.126800537109']",I(II),Choccolocco Creek,0.0010816068764478188
17,19697817.0,AL,3019,Coon Creek ,Rt. 117 to Lake Guntersville,"['34.7694', '-85.7062']","['34.7605', '-85.8424']",IV-V,Flatrock Creek,0.22010788170334894
18,22276638.0,AL,3086,Coosa ,CR 213 or the dam to River Road,"['32.617099761963', '-86.255401611328']","['32.538501739502', '-86.206802368164']",II,Coosa River,0.0035314139399275843
20,19649356.0,AL,2617,Drum Creek ,Rice Mill Rd. to Short Creek,"['34.306667327881', '-86.206665039062']","['34.323333740234', '-86.206665039062']",III,Drum Creek,0.004223707751425984
21,19650054.0,AL,2618,Dry (Short) Creek ,CR 409 to Guntersville Lake,"['34.364035861653', '-86.167785497982']","['34.369650829455', '-86.217720031733']",IV(V),Short Creek,0.003442426615052369
22,22038711.0,AL,3615,Elkahatchee Creek ,Elkahatchee Rd to SR 63,"['32.89049911499', '-85.979400634766']","['32.88330078125', '-85.965301513672']",II-III,Elkahatchee Creek,0.0035563567493134478
23,19697817.0,AL,3614,Flat Rock / Coon Creek ,Rt. 117 to Lake Guntersville,"['34.768901824951', '-85.705299377441']","['34.751300811768', '-85.835403442383']",V,Flatrock Creek,0.22010788170334894
24,19625974.0,AL,3177,"Flint Creek, East Fork ",CR 1386 to Wilhites Rd. Bridge,"['34.293399810791', '-86.842697143555']","['34.291400909424', '-86.886100769043']",II-III+,Flint Creek,0.0021137598371694087
